Team,Week,Opponent,Home_Away,Location
Air Force,1,Bucknell,Home,vs
Air Force,2,Utah State,Away,@
Air Force,3,Boise State,Home,vs
Air Force,4,Hawai'i,Home,vs
Air Force,5,Navy,Away,@
Air Force,6,UNLV,Away,@
Air Force,7,Wyoming,Home,vs
Air Force,8,Army,Home,vs
Air Force,9,San José State,Away,@
Air Force,10,UConn,Away,@
Air Force,11,New Mexico,Home,vs
Air Force,12,Colorado State,Away,@
Akron,1,Wyoming,Home,vs
Akron,2,Nebraska,Away,@
Akron,3,UAB,Away,@
Akron,4,Duquesne,Home,vs
Akron,5,Toledo,Away,@
Akron,6,Central Michigan,Home,vs
Akron,7,Miami (OH),Home,vs
Akron,8,Ball State,Away,@
Akron,9,Buffalo,Away,@
Akron,10,Massachusetts,Home,vs
Akron,11,Kent State,Home,vs
Akron,12,Bowling Green,Away,@
Alabama,1,Florida State,Away,@
Alabama,2,UL Monroe,Home,vs
Alabama,3,Wisconsin,Home,vs
Alabama,4,Georgia,Away,@
Alabama,5,Vanderbilt,Home,vs
Alabama,6,Missouri,Away,@
Alabama,7,Tennessee,Home,vs
Alabama,8,South Carolina,Away,@
Alabama,9,LSU,Home,vs
Alabama,10,Oklahoma,Home,vs
Alabama,11,Eastern Illinois,Home,vs
Alabama,12,Auburn,Away,@
Appalachian State,1,Charlotte,Home,vs
Appalachian State,2,Lindenwood,Home,vs
Appalachian State,3,Southern Miss,Away,@
Appalachian State,4,Boise State,Away,@
Appalachian State,5,Oregon State,Home,vs
Appalachian State,6,Georgia State,Away,@
Appalachian State,7,Coastal Carolina,Home,vs
Appalachian State,8,Old Dominion,Away,@
Appalachian State,9,Georgia Southern,Home,vs
Appalachian State,10,James Madison,Away,@
Appalachian State,11,Marshall,Home,vs
Appalachian State,12,Arkansas State,Home,vs
Arizona,1,Hawai'i,Home,vs
Arizona,2,Weber State,Home,vs
Arizona,3,Kansas State,Home,vs
Arizona,4,Iowa State,Away,@
Arizona,5,Oklahoma State,Home,vs
Arizona,6,BYU,Home,vs
Arizona,7,Houston,Away,@
Arizona,8,Colorado,Away,@
Arizona,9,Kansas,Home,vs
Arizona,10,Cincinnati,Away,@
Arizona,11,Baylor,Home,vs
Arizona,12,Arizona State,Away,@
Arizona State,1,Northern Arizona,Home,vs
Arizona State,2,Mississippi State,Away,@
Arizona State,3,Texas State,Home,vs
Arizona State,4,Baylor,Away,@
Arizona State,5,TCU,Home,vs
Arizona State,6,Utah,Away,@
Arizona State,7,Texas Tech,Home,vs
Arizona State,8,Houston,Home,vs
Arizona State,9,Iowa State,Away,@
Arizona State,10,West Virginia,Home,vs
Arizona State,11,Colorado,Away,@
Arizona State,12,Arizona,Home,vs
Arkansas,1,Alabama A&M,Home,vs
Arkansas,2,Arkansas State,Home,vs
Arkansas,3,Ole Miss,Away,@
Arkansas,4,Memphis,Away,@
Arkansas,5,Notre Dame,Home,vs
Arkansas,6,Tennessee,Away,@
Arkansas,7,Texas A&M,Home,vs
Arkansas,8,Auburn,Home,vs
Arkansas,9,Mississippi State,Home,vs
Arkansas,10,LSU,Away,@
Arkansas,11,Texas,Away,@
Arkansas,12,Missouri,Home,vs
Arkansas State,1,Southeast Missouri State,Home,vs
Arkansas State,2,Arkansas,Away,@
Arkansas State,3,Iowa State,Home,vs
Arkansas State,4,Kennesaw State,Away,@
Arkansas State,5,UL Monroe,Away,@
Arkansas State,6,Texas State,Home,vs
Arkansas State,7,South Alabama,Away,@
Arkansas State,8,Georgia Southern,Home,vs
Arkansas State,9,Troy,Away,@
Arkansas State,10,Southern Miss,Home,vs
Arkansas State,11,Louisiana,Home,vs
Arkansas State,12,App State,Away,@
Army,1,Tarleton State,Home,vs
Army,2,Kansas State,Away,@
Army,3,North Texas,Home,vs
Army,4,East Carolina,Away,@
Army,5,UAB,Away,@
Army,6,Charlotte,Home,vs
Army,7,Tulane,Away,@
Army,8,Air Force,Away,@
Army,9,Temple,Home,vs
Army,10,Tulsa,Home,vs
Army,11,UTSA,Away,@
Army,12,Navy,Home,vs
Auburn,1,Baylor,Away,@
Auburn,2,Ball State,Home,vs
Auburn,3,South Alabama,Home,vs
Auburn,4,Oklahoma,Away,@
Auburn,5,Texas A&M,Away,@
Auburn,6,Georgia,Home,vs
Auburn,7,Missouri,Home,vs
Auburn,8,Arkansas,Away,@
Auburn,9,Kentucky,Home,vs
Auburn,10,Vanderbilt,Away,@
Auburn,11,Mercer,Home,vs
Auburn,12,Alabama,Home,vs
BYU,1,Portland State,Home,vs
BYU,2,Stanford,Home,vs
BYU,3,East Carolina,Away,@
BYU,4,Colorado,Away,@
BYU,5,West Virginia,Home,vs
BYU,6,Arizona,Away,@
BYU,7,Utah,Home,vs
BYU,8,Iowa State,Away,@
BYU,9,Texas Tech,Away,@
BYU,10,TCU,Home,vs
BYU,11,Cincinnati,Away,@
BYU,12,UCF,Home,vs
Ball State,1,Purdue,Away,@
Ball State,2,Auburn,Away,@
Ball State,3,New Hampshire,Home,vs
Ball State,4,UConn,Away,@
Ball State,5,Ohio,Home,vs
Ball State,6,Western Michigan,Away,@
Ball State,7,Akron,Home,vs
Ball State,8,Northern Illinois,Away,@
Ball State,9,Kent State,Home,vs
Ball State,10,Eastern Michigan,Home,vs
Ball State,11,Toledo,Away,@
Ball State,12,Miami (OH),Away,@
Baylor,1,Auburn,Home,vs
Baylor,2,SMU,Away,@
Baylor,3,Samford,Home,vs
Baylor,4,Arizona State,Home,vs
Baylor,5,Oklahoma State,Away,@
Baylor,6,Kansas State,Home,vs
Baylor,7,TCU,Away,@
Baylor,8,Cincinnati,Away,@
Baylor,9,UCF,Home,vs
Baylor,10,Utah,Home,vs
Baylor,11,Arizona,Away,@
Baylor,12,Houston,Home,vs
Boise State,1,South Florida,Away,@
Boise State,2,Eastern Washington,Home,vs
Boise State,3,Air Force,Away,@
Boise State,4,App State,Home,vs
Boise State,5,Notre Dame,Away,@
Boise State,6,New Mexico,Home,vs
Boise State,7,UNLV,Home,vs
Boise State,8,Nevada,Away,@
Boise State,9,Fresno State,Home,vs
Boise State,10,San Diego State,Away,@
Boise State,11,Colorado State,Home,vs
Boise State,12,Utah State,Away,@
Boston College,1,Fordham,Home,vs
Boston College,2,Michigan State,Away,@
Boston College,3,Stanford,Away,@
Boston College,4,California,Home,vs
Boston College,5,Pittsburgh,Away,@
Boston College,6,Clemson,Home,vs
Boston College,7,UConn,Home,vs
Boston College,8,Louisville,Away,@
Boston College,9,Notre Dame,Home,vs
Boston College,10,SMU,Home,vs
Boston College,11,Georgia Tech,Home,vs
Boston College,12,Syracuse,Away,@
Bowling Green,1,Lafayette,Home,vs
Bowling Green,2,Cincinnati,Away,@
Bowling Green,3,Liberty,Home,vs
Bowling Green,4,Louisville,Away,@
Bowling Green,5,Ohio,Away,@
Bowling Green,6,Toledo,Home,vs
Bowling Green,7,Central Michigan,Home,vs
Bowling Green,8,Kent State,Away,@
Bowling Green,9,Buffalo,Home,vs
Bowling Green,10,Eastern Michigan,Away,@
Bowling Green,11,Akron,Home,vs
Bowling Green,12,Massachusetts,Away,@
Buffalo,1,Minnesota,Away,@
Buffalo,2,Saint Francis,Home,vs
Buffalo,3,Kent State,Away,@
Buffalo,4,Troy,Home,vs
Buffalo,5,UConn,Home,vs
Buffalo,6,Eastern Michigan,Home,vs
Buffalo,7,Massachusetts,Away,@
Buffalo,8,Akron,Home,vs
Buffalo,9,Bowling Green,Away,@
Buffalo,10,Central Michigan,Away,@
Buffalo,11,Miami (OH),Home,vs
Buffalo,12,Ohio,Home,vs
California,1,Oregon State,Away,@
California,2,Texas Southern,Home,vs
California,3,Minnesota,Home,vs
California,4,San Diego State,Away,@
California,5,Boston College,Away,@
California,6,Duke,Home,vs
California,7,North Carolina,Home,vs
California,8,Virginia Tech,Away,@
California,9,Virginia,Home,vs
California,10,Louisville,Away,@
California,11,Stanford,Away,@
California,12,SMU,Home,vs
Central Michigan,1,San José State,Away,@
Central Michigan,2,Pittsburgh,Away,@
Central Michigan,3,Michigan,Away,@
Central Michigan,4,Wagner,Home,vs
Central Michigan,5,Eastern Michigan,Home,vs
Central Michigan,6,Akron,Away,@
Central Michigan,7,Bowling Green,Away,@
Central Michigan,8,Massachusetts,Home,vs
Central Michigan,9,Western Michigan,Away,@
Central Michigan,10,Buffalo,Home,vs
Central Michigan,11,Kent State,Away,@
Central Michigan,12,Toledo,Home,vs
Charlotte,1,App State,Home,vs
Charlotte,2,North Carolina,Home,vs
Charlotte,3,Monmouth,Home,vs
Charlotte,4,Rice,Home,vs
Charlotte,5,South Florida,Away,@
Charlotte,6,Army,Away,@
Charlotte,7,Temple,Home,vs
Charlotte,8,North Texas,Home,vs
Charlotte,9,East Carolina,Away,@
Charlotte,10,UTSA,Home,vs
Charlotte,11,Georgia,Away,@
Charlotte,12,Tulane,Away,@
Cincinnati,1,Nebraska,Home,vs
Cincinnati,2,Bowling Green,Home,vs
Cincinnati,3,Northwestern State,Home,vs
Cincinnati,4,Kansas,Away,@
Cincinnati,5,Iowa State,Home,vs
Cincinnati,6,UCF,Home,vs
Cincinnati,7,Oklahoma State,Away,@
Cincinnati,8,Baylor,Home,vs
Cincinnati,9,Utah,Away,@
Cincinnati,10,Arizona,Home,vs
Cincinnati,11,BYU,Home,vs
Cincinnati,12,TCU,Away,@
Clemson,1,LSU,Home,vs
Clemson,2,Troy,Home,vs
Clemson,3,Georgia Tech,Away,@
Clemson,4,Syracuse,Home,vs
Clemson,5,North Carolina,Away,@
Clemson,6,Boston College,Away,@
Clemson,7,SMU,Home,vs
Clemson,8,Duke,Home,vs
Clemson,9,Florida State,Home,vs
Clemson,10,Louisville,Away,@
Clemson,11,Furman,Home,vs
Clemson,12,South Carolina,Away,@
Coastal Carolina,1,Virginia,Away,@
Coastal Carolina,2,Charleston Southern,Home,vs
Coastal Carolina,3,East Carolina,Home,vs
Coastal Carolina,4,South Alabama,Away,@
Coastal Carolina,5,Old Dominion,Away,@
Coastal Carolina,6,UL Monroe,Home,vs
Coastal Carolina,7,App State,Away,@
Coastal Carolina,8,Marshall,Home,vs
Coastal Carolina,9,Georgia State,Home,vs
Coastal Carolina,10,Georgia Southern,Away,@
Coastal Carolina,11,South Carolina,Away,@
Coastal Carolina,12,James Madison,Home,vs
Colorado,1,Georgia Tech,Home,vs
Colorado,2,Delaware,Home,vs
Colorado,3,Houston,Away,@
Colorado,4,Wyoming,Home,vs
Colorado,5,BYU,Home,vs
Colorado,6,TCU,Away,@
Colorado,7,Iowa State,Home,vs
Colorado,8,Utah,Away,@
Colorado,9,Arizona,Home,vs
Colorado,10,West Virginia,Away,@
Colorado,11,Arizona State,Home,vs
Colorado,12,Kansas State,Away,@
Colorado State,1,Washington,Away,@
Colorado State,2,Northern Colorado,Home,vs
Colorado State,3,UTSA,Home,vs
Colorado State,4,Washington State,Home,vs
Colorado State,5,San Diego State,Away,@
Colorado State,6,Fresno State,Home,vs
Colorado State,7,Hawai'i,Home,vs
Colorado State,8,Wyoming,Away,@
Colorado State,9,UNLV,Home,vs
Colorado State,10,New Mexico,Away,@
Colorado State,11,Boise State,Away,@
Colorado State,12,Air Force,Home,vs
Duke,1,Elon,Home,vs
Duke,2,Illinois,Home,vs
Duke,3,Tulane,Away,@
Duke,4,NC State,Home,vs
Duke,5,Syracuse,Away,@
Duke,6,California,Away,@
Duke,7,Georgia Tech,Home,vs
Duke,8,Clemson,Away,@
Duke,9,UConn,Away,@
Duke,10,Virginia,Home,vs
Duke,11,North Carolina,Away,@
Duke,12,Wake Forest,Home,vs
East Carolina,1,NC State,Away,@
East Carolina,2,Campbell,Home,vs
East Carolina,3,Coastal Carolina,Away,@
East Carolina,4,BYU,Home,vs
East Carolina,5,Army,Home,vs
East Carolina,6,Tulane,Away,@
East Carolina,7,Tulsa,Home,vs
East Carolina,8,Temple,Away,@
East Carolina,9,Charlotte,Home,vs
East Carolina,10,Memphis,Home,vs
East Carolina,11,UTSA,Away,@
East Carolina,12,Florida Atlantic,Away,@
Eastern Michigan,1,Texas State,Away,@
Eastern Michigan,2,Long Island University,Home,vs
Eastern Michigan,3,Kentucky,Away,@
Eastern Michigan,4,Louisiana,Home,vs
Eastern Michigan,5,Central Michigan,Away,@
Eastern Michigan,6,Buffalo,Away,@
Eastern Michigan,7,Northern Illinois,Home,vs
Eastern Michigan,8,Miami (OH),Away,@
Eastern Michigan,9,Ohio,Home,vs
Eastern Michigan,10,Bowling Green,Home,vs
Eastern Michigan,11,Ball State,Away,@
Eastern Michigan,12,Western Michigan,Home,vs
Florida,1,Long Island University,Home,vs
Florida,2,South Florida,Home,vs
Florida,3,LSU,Away,@
Florida,4,Miami,Away,@
Florida,5,Texas,Home,vs
Florida,6,Texas A&M,Away,@
Florida,7,Mississippi State,Home,vs
Florida,8,Georgia,Home,vs
Florida,9,Kentucky,Away,@
Florida,10,Ole Miss,Away,@
Florida,11,Tennessee,Home,vs
Florida,12,Florida State,Home,vs
Florida Atlantic,1,Maryland,Away,@
Florida Atlantic,2,Florida A&M,Home,vs
Florida Atlantic,3,Florida International,Away,@
Florida Atlantic,4,Memphis,Home,vs
Florida Atlantic,5,Rice,Away,@
Florida Atlantic,6,UAB,Home,vs
Florida Atlantic,7,South Florida,Away,@
Florida Atlantic,8,Navy,Away,@
Florida Atlantic,9,Tulsa,Home,vs
